STATION,STATION_NAME,DATE,HPCP
COOP:234273,JEFFERSON BARRACKS MO US,20050701 01:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20050701 13:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20050701 14:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20050801 00:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20050801 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20050805 02:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20050810 17:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050813 17:00,0.90
COOP:234273,JEFFERSON BARRACKS MO US,20050813 19:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050813 20:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050814 04:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050814 05:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050814 18:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050815 08:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050815 16:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050816 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050816 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050818 09:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050818 10:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050818 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050825 15:00,0.50
COOP:234273,JEFFERSON BARRACKS MO US,20050825 17:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050825 19:00,1.50
COOP:234273,JEFFERSON BARRACKS MO US,20050826 13:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050826 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050901 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20050914 00:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050914 01:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20050914 02:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050915 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050915 07:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20050915 08:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20050915 10:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050915 11:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050915 21:00,0.80
COOP:234273,JEFFERSON BARRACKS MO US,20050919 21:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050919 23:00,0.50
COOP:234273,JEFFERSON BARRACKS MO US,20050920 00:00,0.80
COOP:234273,JEFFERSON BARRACKS MO US,20050920 09:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050925 05:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050925 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050925 09:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050925 10:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050925 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050925 13:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20050925 14:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050925 16:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050925 17:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20050925 18:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050928 16:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20050928 17:00,1.30
COOP:234273,JEFFERSON BARRACKS MO US,20050928 18:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20051001 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20051004 13:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051101 00:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051101 01:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051107 13:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051107 14:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051201 00:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051201 01:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051201 02:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20051208 16:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20051210 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20051214 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20051214 05:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20051225 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20051225 08:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20051228 08:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20051228 09:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20051230 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060101 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20060102 06:00,0.50
COOP:234273,JEFFERSON BARRACKS MO US,20060102 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060110 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060110 08:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060110 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060110 23:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060111 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060113 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060115 10:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060116 21:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060116 22:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060120 21:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060120 22:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060128 16:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060128 18:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060128 19:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060128 20:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060129 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060201 01:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20060201 04:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20060208 16:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060216 17:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20060301 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20060305 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060305 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060305 15:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060308 08:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060308 10:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060308 11:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060309 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060309 07:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060309 09:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060309 10:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060309 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060309 13:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060309 18:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060309 19:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060311 05:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20060311 22:00,0.40
COOP:234273,JEFFERSON BARRACKS MO US,20060312 00:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060312 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060313 04:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20060320 22:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060320 23:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060321 01:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060321 06:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060322 11:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060327 10:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060327 13:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060401 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20060402 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060402 17:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060405 22:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060406 00:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060406 10:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060406 12:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060411 09:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20060411 11:00,999.99
COOP:234273,JEFFERSON BARRACKS MO US,20060419 01:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060429 02:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060429 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060429 05:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060429 07:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060429 12:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060430 03:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060430 04:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060501 01:00,0.00
COOP:234273,JEFFERSON BARRACKS MO US,20060501 21:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060501 22:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20060501 23:00,0.30
COOP:234273,JEFFERSON BARRACKS MO US,20060503 14:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060504 00:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060509 09:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060509 10:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060510 13:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060510 15:00,0.50
COOP:234273,JEFFERSON BARRACKS MO US,20060510 16:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060510 17:00,0.10
COOP:234273,JEFFERSON BARRACKS MO US,20060510 20:00,0.20
COOP:234273,JEFFERSON BARRACKS MO US,20060510 21:00,0.10
